recall,std_dev,criterion,max_depth,min_samples_leaf,min_samples_split
0.1898550724637681,0.21069891994650725,entropy,5,5,15
0.2072463768115942,0.21683019373060922,entropy,5,5,20
0.26666666666666666,0.13295472395570682,entropy,5,10,2
0.275,0.1524221577648531,entropy,5,10,5
0.26666666666666666,0.13295472395570682,entropy,5,10,10
0.26666666666666666,0.13295472395570682,entropy,5,10,15
0.26666666666666666,0.13295472395570682,entropy,5,10,20
0.19746376811594205,0.1090814409720795,entropy,5,15,2
0.19746376811594205,0.1090814409720795,entropy,5,15,5
0.19746376811594205,0.1090814409720795,entropy,5,15,10
0.19746376811594205,0.1090814409720795,entropy,5,15,15
0.19746376811594205,0.1090814409720795,entropy,5,15,20
0.22282608695652173,0.1652745896412888,entropy,5,20,2
0.22282608695652173,0.1652745896412888,entropy,5,20,5
0.22282608695652173,0.1652745896412888,entropy,5,20,10
0.22282608695652173,0.1652745896412888,entropy,5,20,15
0.22282608695652173,0.1652745896412888,entropy,5,20,20
0.29347826086956524,0.10470951807645475,entropy,10,1,2
0.3021739130434783,0.14833671399332157,entropy,10,1,5
0.3021739130434783,0.12631164388116478,entropy,10,1,10
0.27608695652173915,0.13158909522105702,entropy,10,1,15
0.25869565217391305,0.12328214677180718,entropy,10,1,20
0.2594202898550725,0.15886596644689532,entropy,10,5,2
0.23333333333333334,0.12104703198736873,entropy,10,5,5
0.22463768115942032,0.1302736524883724,entropy,10,5,10
0.24130434782608695,0.08739022279235559,entropy,10,5,15
0.23333333333333334,0.13295472395570684,entropy,10,5,20
0.275,0.1524221577648531,entropy,10,10,2
0.26666666666666666,0.13295472395570682,entropy,10,10,5
0.26666666666666666,0.13295472395570682,entropy,10,10,10
0.275,0.1524221577648531,entropy,10,10,15
0.26666666666666666,0.13295472395570682,entropy,10,10,20
0.20615942028985507,0.0919005151448562,entropy,10,15,2
0.20615942028985507,0.0919005151448562,entropy,10,15,5
0.20615942028985507,0.0919005151448562,entropy,10,15,10
0.20615942028985507,0.0919005151448562,entropy,10,15,15
0.20615942028985507,0.0919005151448562,entropy,10,15,20
0.22282608695652173,0.1652745896412888,entropy,10,20,2
0.22282608695652173,0.1652745896412888,entropy,10,20,5
0.22282608695652173,0.1652745896412888,entropy,10,20,10
0.22282608695652173,0.1652745896412888,entropy,10,20,15
0.22282608695652173,0.1652745896412888,entropy,10,20,20
0.25869565217391305,0.12328214677180717,entropy,15,1,2
0.2851449275362319,0.1734837697235333,entropy,15,1,5
0.28478260869565214,0.10685396284734354,entropy,15,1,10
0.27608695652173915,0.13158909522105702,entropy,15,1,15
0.25869565217391305,0.12328214677180718,entropy,15,1,20
0.23333333333333334,0.16355635918453199,entropy,15,5,2
0.23333333333333334,0.16355635918453199,entropy,15,5,5
0.24202898550724639,0.13333333333333333,entropy,15,5,10
0.23260869565217393,0.06679257172059659,entropy,15,5,15
0.23333333333333334,0.13295472395570684,entropy,15,5,20
0.26666666666666666,0.13295472395570682,entropy,15,10,2
0.26666666666666666,0.13295472395570682,entropy,15,10,5
0.26666666666666666,0.13295472395570682,entropy,15,10,10
0.275,0.1524221577648531,entropy,15,10,15
0.275,0.1524221577648531,entropy,15,10,20
0.20615942028985507,0.0919005151448562,entropy,15,15,2
0.20615942028985507,0.0919005151448562,entropy,15,15,5
0.20615942028985507,0.0919005151448562,entropy,15,15,10
0.20615942028985507,0.0919005151448562,entropy,15,15,15
0.20615942028985507,0.0919005151448562,entropy,15,15,20
0.22282608695652173,0.1652745896412888,entropy,15,20,2
0.22282608695652173,0.1652745896412888,entropy,15,20,5
0.22282608695652173,0.1652745896412888,entropy,15,20,10
0.22282608695652173,0.1652745896412888,entropy,15,20,15
0.22282608695652173,0.1652745896412888,entropy,15,20,20
0.311231884057971,0.16384505054505535,entropy,20,1,2
